feature,f_score
BMI,8154.44249294532
Weight,1559.9414027525156
Gender_Male,127.86060647076333
family_history_with_overweight_yes,112.85057836843748
CAEC_Sometimes,93.01736699554229
CAEC_Frequently,93.0018499109021
FCVC,87.34353186996162
Age,57.937630606784545
CALC_Sometimes,48.50237972667618
CALC_no,42.553604027726216
FAVC_yes,36.213706023618556
Height,29.148170476016297
Height_m,29.148170476016297
NCP,21.54854410990922
MTRANS_Public_Transportation,21.003656585120186
CAEC_no,19.711456465376752
SCC_yes,17.945795417192024
FAF,17.233197938186407
MTRANS_Walking,13.580014668932947
CH2O,12.974370812484926
CALC_Frequently,6.8345246151707215
TUE,6.268699176930883
SMOKE_yes,4.907943065565887
MTRANS_Bike,3.3767349374590814
MTRANS_Motorbike,2.4072501619720486
